(11,0)	(12,3)	null	null	(11,1)	
(11,1)	null	(11,0)	null	(11,2)	
(11,2)	(12,4)	(11,1)	null	(11,3)	
(11,3)	null	(11,2)	null	(11,4)	
(11,4)	(12,5)	(11,3)	null	(11,5)	
(11,5)	null	(11,4)	null	(11,6)	
(11,6)	(12,6)	(11,5)	null	null	
(12,3)	(13,3)	null	(11,0)	null	
(12,4)	(13,4)	null	(11,2)	null	
(12,5)	(13,5)	null	(11,4)	null	
(12,6)	(13,6)	null	(11,6)	(12,7)	
(12,7)	(13,7)	(12,6)	null	null	
(13,3)	(14,3)	null	(12,3)	null	
(13,4)	(14,5)	null	(12,4)	null	
(13,5)	(14,7)	null	(12,5)	null	
(13,6)	(14,9)	null	(12,6)	(13,7)	
(13,7)	(14,10)	(13,6)	(12,7)	(13,8)	
(13,8)	(14,11)	(13,7)	null	null	
(14,3)	null	null	(13,3)	(14,4)	
(14,4)	null	(14,3)	null	(14,5)	
(14,5)	null	(14,4)	(13,4)	(14,6)	
(14,6)	null	(14,5)	null	(14,7)	
(14,7)	null	(14,6)	(13,5)	(14,8)	
(14,8)	null	(14,7)	null	(14,9)	
(14,9)	null	(14,8)	(13,6)	(14,10)	
(14,10)	null	(14,9)	(13,7)	(14,11)	
(14,11)	null	(14,10)	(13,8)	null	
