(6,3)	(18,1)	null	(6,4)	null
(6,4)	(18,0)	null	null	(6,3)
(7,3)	(18,2)	(18,1)	(7,4)	null
(7,4)	(18,3)	(18,0)	(7,5)	(7,3)
(7,5)	(18,4)	null	null	(7,4)
(8,3)	null	(18,2)	(8,4)	null
(8,4)	null	(18,3)	(8,5)	(8,3)
(8,5)	null	(18,4)	(8,6)	(8,4)
(8,6)	(17,6)	null	(8,7)	(8,5)
(8,7)	(17,7)	null	null	(8,6)
(9,7)	null	null	(16,8)	(16,9)
(9,8)	(10,7)	(16,8)	(9,9)	null
(9,9)	(10,9)	null	null	(9,8)	
(9,10)	(15,7)	null	(15,8)	null
(10,6)	(11,7)	null	(10,7)	null
(10,7)	null	(9,8)	(10,8)	(10,6)
(10,8)	(11,8)	null	(10,9)	(10,7)
(10,9)	null	(9,9)	null	(10,8)
(10,10)	(13,13)	(13,1)	(13,14)	null
(10,11)	null	(15,18)	null	(15,14)
(10,12)	null	(15,3)	null	(15,2)
(10,13)	(13,4)	(13,3)	(12,5)	null
(10,14)	(18,5)	null	(12,11)	(13,4)
(11,3)	null	null	(15,15)	(15,16)
(11,4)	null	null	(16,9)	(15,15)
(11,5)	null	null	(11,6)	(12,4)
(11,6)	null	null	(11,7)	(11,5)
(11,7)	(12,7)	(10,6)	(11,8)	(11,6)	
(11,8)	(12,8)	(10,8)	null	(11,7)
(11,12)	null	(18,13)	(15,2)	(15,1)
(11,13)	null	(15,4)	(15,1)	null
(11,14)	(15,4)	(15,5)	null	null
(12,3)	(13,3)	null	null	(13,2)
(12,4)	(12,5)	null	(11,5)	null
(12,5)	(13,5)	(12,4)	(12,6)	(10,13)
(12,6)	(15,17)	null	(12,7)	(12,5)
(12,7)	(15,21)	(11,7)	(12,8)	(12,6)
(12,8)	(12,9)	(11,8)	null	(12,7)
(12,9)	(15,19)	(12,8)	(12,10)	(18,7)
(12,10)	(15,20)	null	null	(12,9)
(12,11)	null	(13,6)	(12,13)	(10,14)
(12,13)	(19,1)	(13,7)	(18,6)	(12,11)
(12,14)	(14,12)	(15,13)	(15,14)	(15,12)
(13,1)	(10,10)	null	(15,9)	(15,8)
(13,2)	(13,14)	null	(12,3)	(15,9)
(13,3)	(10,13)	(12,3)	(15,16)	null
(13,4)	(18,8)	(10,13)	(10,14)	(14,4)
(13,5)	null	(12,5)	(13,6)	null
(13,6)	(12,11)	(15,17)	null	(13,5)
(13,7)	(12,13)	null	(13,8)	null
(13,8)	(15,13)	null	(13,9)	(13,7)
(13,9)	(15,18)	(15,19)	(13,10)	(13,8)
(13,10)	null	(15,20)	null	(13,9)
(13,11)	(14,8)	(15,11)	(19,3)	(13,12)
(13,12)	null	(14,3)	(13,11)	(13,13)	
(13,13)	(14,2)	(10,10)	(13,12)	null
(13,14)	(14,3)	(13,2)	(15,10)	(10,10)
(14,0)	(15,6)	(15,7)	(14,1)	null
(14,1)	(14,6)	null	(14,2)	(14,0)	
(14,2)	(14,7)	(13,13)	null	(14,1)
(14,3)	(13,12)	(13,14)	null	null	
(14,4)	(15,11)	null	(13,4)	(15,10)
(14,5)	null	(15,6)	(14,6)	null
(14,6)	null	(14,1)	(14,7)	(14,5)
(14,7)	null	(14,2)	(14,8)	(14,6)
(14,8)	(15,5)	(13,11)	(14,9)	(14,7)
(14,9)	(18,11)	(19,3)	(14,10)	(14,8)
(14,10)	(15,3)	(18,10)	(14,11)	(14,9)
(14,11)	null	(15,12)	(14,12)	(14,10)
(14,12)	null	(12,14)	null	(14,11)	
(15,1)	null	null	(11,12)	(11,13)
(15,2)	null	(19,4)	(10,12)	(11,12)
(15,3)	(10,12)	(14,10)	null	(19,4)
(15,4)	(11,13)	(11,14)	null	null
(15,5)	(11,14)	(14,8)	(18,11)	null
(15,6)	(14,5)	(14,0)	null	null
(15,7)	(14,0)	(9,10)	null	null
(15,8)	null	null	(13,1)	(9,10)
(15,9)	null	null	(13,2)	(13,1)
(15,10)	null	null	(14,4)	(13,14)
(15,11)	(13,11)	(14,4)	(19,2)	null
(15,12)	(14,11)	(18,5)	(12,14)	(18,9)
(15,13)	(12,14)	(13,8)	null	(19,1)
(15,14)	null	null	(10,11)	(12,14)
(15,15)	null	null	(11,4)	(11,3)
(15,16)	null	null	(11,3)	(13,3)
(15,17)	(13,6)	(12,6)	null	null
(15,18)	(10,11)	(13,9)	null	null
(15,19)	(13,9)	(12,9)	null	null
(15,20)	(13,10)	(12,10)	null	null
(15,21)	(18,6)	(12,7)	null	null
(16,8)	(9,8)	(16,7)	null	(9,7)
(16,9)	null	null	(9,7)	(11,4)
(17,7)	(16,7)	(8,7)	null	(17,6)
(16,7)	(16,8)	(17,7)	null	(16,6)
(17,6)	(16,6)	(8,6)	(17,7)	null
(16,6)	null	(17,6)	(16,7)	null
(18,0)	(7,4)	(6,4)	null	null
(18,3)	(8,4)	(7,4)	null	null
(18,1)	(7,3)	(6,3)	null	null
(18,2)	(8,3)	(7,3)	null	null
(18,4)	(8,5)	(7,5)	null	null
(18,5)	(15,12)	(10,14)	(19,1)	(18,8)
(18,6)	null	(15,21)	(18,7)	(12,13)
(18,7)	null	null	(12,9)	(18,6)
(18,8)	(18,9)	(13,4)	(18,5)	null
(18,9)	(18,10)	(18,8)	(15,12)	(19,2)
(18,10)	(14,10)	(18,9)	null	(19,3)
(18,11)	(18,12)	(14,9)	(19,5)	(15,5)
(18,12)	(18,13)	(18,11)	null	null
(18,13)	(11,12)	(18,12)	(19,4)	null
(19,1)	null	(12,13)	(15,13)	(18,5)
(19,2)	(19,3)	null	(18,9)	(15,11)
(19,3)	(14,9)	(19,2)	(18,10)	(13,11)
(19,4)	(15,2)	(19,5)	(15,3)	(18,13)
(19,5)	(19,4)	null	null	(18,11)
